audit_timestamp,rollback_snapshot_id,production_dbf_flag,example_category,before_status,after_status,why_issue_occurred,why_included_or_excluded,remediation_path,governance_reasoning,business_review_required,replay_eligibility,reconstructed_claim_id,derivation_candidate_id,rulebook_lineage
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: LIFECYCLE_BLOCKED,Excluded from UAT candidate population,LIFECYCLE_REPLAY_AUTHORIZATION,NEEDS_RULE_REFINEMENT,Y,,RC-9011201621-1-DEATH_CLAIM-C0-20201017,QDC-CPS-RC-9011201621-1-DEATH_CLAIM-C0-20201017-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: UNBALANCED_PARENT,Excluded from UAT candidate population,PARENT_CLAIM_REMEDIATION,PRODUCTION_BLOCKED,Y,,RC-9011261439-1-DEATH_CLAIM-C1-20240529,QDC-CPS-RC-9011261439-1-DEATH_CLAIM-C1-20240529-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: LIFECYCLE_BLOCKED,Excluded from UAT candidate population,LIFECYCLE_REPLAY_AUTHORIZATION,NEEDS_RULE_REFINEMENT,Y,,RC-9010411499-1-DEATH_CLAIM-C0-20200830,QDC-CPS-RC-9010411499-1-DEATH_CLAIM-C0-20200830-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: UNBALANCED_PARENT,Excluded from UAT candidate population,PARENT_CLAIM_REMEDIATION,PRODUCTION_BLOCKED,Y,,RC-9010389651-1-DEATH_CLAIM-C0-20240727,QDC-CPS-RC-9010389651-1-DEATH_CLAIM-C0-20240727-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: UNBALANCED_PARENT,Excluded from UAT candidate population,PARENT_CLAIM_REMEDIATION,PRODUCTION_BLOCKED,Y,,RC-9010396147-1-DEATH_CLAIM-C0-20250106,QDC-CPS-RC-9010396147-1-DEATH_CLAIM-C0-20250106-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: LIFECYCLE_BLOCKED,Excluded from UAT candidate population,LIFECYCLE_REPLAY_AUTHORIZATION,NEEDS_RULE_REFINEMENT,Y,,RC-9010394249-1-DEATH_CLAIM-C0-20240916,QDC-CPS-RC-9010394249-1-DEATH_CLAIM-C0-20240916-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: LIFECYCLE_BLOCKED,Excluded from UAT candidate population,LIFECYCLE_REPLAY_AUTHORIZATION,NEEDS_RULE_REFINEMENT,Y,,RC-9010412522-1-DEATH_CLAIM-C0-20190718,QDC-CPS-RC-9010412522-1-DEATH_CLAIM-C0-20190718-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: LIFECYCLE_BLOCKED,Excluded from UAT candidate population,LIFECYCLE_REPLAY_AUTHORIZATION,NEEDS_RULE_REFINEMENT,Y,,RC-9010393158-1-DEATH_CLAIM-C0-20210207,QDC-CPS-RC-9010393158-1-DEATH_CLAIM-C0-20210207-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: LIFECYCLE_BLOCKED,Excluded from UAT candidate population,LIFECYCLE_REPLAY_AUTHORIZATION,NEEDS_RULE_REFINEMENT,Y,,RC-9010411499-1-DEATH_CLAIM-C0-20200830,QDC-CPS-RC-9010411499-1-DEATH_CLAIM-C0-20200830-P2,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,ORPHAN_EXAMPLE,Payment exists without accepted claim header (orphan),Still orphan after Phase 15 replay,Parent claim blocked: UNBALANCED_PARENT,Excluded from UAT candidate population,PARENT_CLAIM_REMEDIATION,PRODUCTION_BLOCKED,Y,,RC-9011156098-1-DEATH_CLAIM-C1-20231115,QDC-CPS-RC-9011156098-1-DEATH_CLAIM-C1-20231115-P1,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,SURRENDER_OFFSET_EXAMPLE,Surrender claim with large offset/residual,Held in business review queue,Workbench bucket: LARGE_RESIDUAL_FAMILY,Deferred from UAT; surrender review required,Surrender offset business review,BUSINESS_REVIEW_REQUIRED,Y,,RC-9010776027-2-SURRENDER_CLAIM-C2-20201215,QDC-RC-9010776027-2-SURRENDER_CLAIM-C2-20201215,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-05-28T20:17:56Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260528T201756Z,N,SURRENDER_OFFSET_EXAMPLE,Surrender claim with large offset/residual,Held in business review queue,Workbench bucket: LARGE_RESIDUAL_FAMILY,Deferred from UAT; surrender review required,Surrender offset business review,BUSINESS_REVIEW_REQUIRED,Y,,RC-9011110968-2-SURRENDER_CLAIM-C0-20190521,QDC-RC-9011110968-2-SURRENDER_CLAIM-C0-20190521,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
