file_name,file_path,row_count,iswl_row_count,file_level,key_columns,product_plan_identifiers,rate_value_columns,effective_date_columns,variation_columns,scope,notes
Rate_Table_Extract_20260427.csv,plan_analysis/source_data/rates/Rate_Table_Extract_20260427.csv,1128985,251950,table-level,"COVERAGE_ID, TYPE_CODE, AGE, SEX, BAND, UNDERWRITING_CLASS, DURATION, VALUE","658 CEN I, 658 CEN SD, 659 CEN II, 659 CEN SR, 659 CEN SD, 659 SR GD, 669 SR GD, 679 CEN SD -> QLA MPLAN 1658C1-1679CS via CSO crosswalk",VALUE,(none in extract),"SEX, BAND, UNDERWRITING_CLASS, AGE, DURATION",table-level,"ISWL TYPE_CODEs: CV (cash value), NP (net premium), RV (reserve), TP/TX (excluded), DB (659 SR GD only). No PR (gross premium) rows for ISWL."
PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,plan_analysis/source_data/rates/PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,24425,3287,table-level,"COVERAGE_ID, TYPE_CODE, SEX, BAND, UWCLS, RECORD_SEQ, SEQ, VALUE_INFO, VALUE_FLOAT, AAGE_KEY0","658 CEN I, 658 CEN SD, 659 CEN II, 659 CEN SR, 659 CEN SD, 679 CEN SD (659 SR GD and 669 SR GD absent)",VALUE_INFO,(none in extract),"SEX, BAND, UWCLS, SEQ (attained-age index)",table-level,"ISWL TYPE_CODEs: NC, U6, U5, BP, NF, RD. Authoritative values in VALUE_INFO (VALUE_FLOAT is 0.0). NC/U6 are COI/GCOI candidates."
CSO_Mortiality_Crosswalk.csv,plan_analysis/source_data/rates/CSO_Mortiality_Crosswalk.csv,52,8,plan-level,"lifepro_coverage_id, qla_plan_code, nfo_interest_source, nfo_interest_code, cv_int_rate_source, mort_code_*, eti_code_*","All 8 ISWL MPLAN codes (1658C1, 1658CS, 1659C2, 1659CR, 1659CS, 1659SR, 1669SR, 1679CS)",nfo_interest_source (4.50%),(none),"MORT/ETIMORT by gender x UW class",plan-level,"Guaranteed/NFO interest 4.50% for all ISWL rows. Maps to quikplan.NFOINT code A — not QUIKUINT directly."
PCOVR.csv,plan_analysis/source_data/coverage/PCOVR.csv,140,8,plan-level,"COVERAGE_ID, DESCRIPTION, PLAN_TYPE, PRODUCT_TYPE, ANN_GUAR_RATE, ...","8 ISWL coverages; PRODUCT_TYPE WHO; Interest-Sensitive Whole Life",ANN_GUAR_RATE and related rate fields,(none in sample),"Plan-level coverage master",plan-level,"Coverage metadata only; no factor grids. Confirms ISWL product family."
PCOVRSGT.csv,plan_analysis/source_data/coverage/PCOVRSGT.csv,7899,(segment rows for ISWL coverages),segment-level,"COVERAGE_ID, SEQ, SEGT_FLAG, SEGT_ID",Resolves PAAGERAT COVERAGE_ID to parent form,(none),(none),Segment linkage,segment-level,"Required for PAAGERAT segment ID resolution per plan_analysis/source_data/README.md."
Policy Form Crosswalk 5.22.26.xlsx,plan_analysis/source_data/crosswalk/Policy Form Crosswalk 5.22.26.xlsx,(not counted — xlsx),8 ISWL plans,crosswalk,LifePRO form -> authoritative QLA MPLAN,All 8 ISWL MPLAN codes,(none),(none),Plan mapping,crosswalk,"Authoritative COVERAGE_ID -> MPLAN resolution used by rate pipeline."
iswl-prem.csv,PFSA Rates/iswl-prem.csv,1952,1952,matrix (non-LifePRO),Row label + age columns (-2..99),Row prefix MSP B2 / FJV B2 / etc. (10 segments — not QLA MPLAN),Age-column premium values,(none),"Gender+UW segment (MSP/FJV/...), Band (B1/B2), Duration (row suffix 1-121), Issue age (column header)",table-level,"Business PFSA premium matrix. EXCLUDE in plan_csv_mapping_DRAFT.csv. Custom duration x age layout — not standard LifePRO extract."
PPBEN_PolicyBenefit_Extract*.csv,QLA_Migration/Source/ (gitignored — not present locally),(unknown),(~2268 ISWL policies expected),policy-level,"PLAN_CODE, FV_GUAR_RATE, UV_GUAR_COI_RATE, UV_CURR_COI_RATE, FV_COI, ...",ISWL policies by PLAN_CODE matching 658/659/669/679 forms,FV_GUAR_RATE; UV_GUAR_COI_RATE; UV_CURR_COI_RATE,(none),"Policy-level benefit row; ISSUE_AGE, SEX_CODE, UNDERWRITING_CLASS",policy/rider-level,"Referenced in prior discovery; headers confirmed via Issue_27 population. Not available in workspace for row-level ISWL analysis."
PPOLC_PolicyMaster_Extract*.csv,QLA_Migration/Source/ (gitignored — not present locally),(unknown),(unknown),policy-level,WITHDRAW_INT_FLAG and policy master fields,ISWL policies,(none),(none),Policy-level,policy-level,"Limited interest utility; no rate grids."
PPBENTYP_BenefitType_Extract*.csv,QLA_Migration/Source/ (gitignored — not present locally),(unknown),(unknown),benefit-type-level,NFO/dividend benefit type fields,ISWL benefit types,(none),(none),Benefit-type-level,benefit-type-level,"May hold dividend/NFO configuration; not analyzed (extract absent)."
PLOAN_LoanInformation_Extract*.csv,QLA_Migration/Source/ (gitignored — not present locally),(unknown),(unknown),policy-level,Loan rate fields (TBD),ISWL policies with loans,(none),(none),Policy-level,policy-level,"Candidate for loan credited rate if QLAdmin requires separate loan interest in QUIKUINT."
Issue_21D_Interest_Rate_Population.csv,Issue_Log_Items/Issue_21/Issue_21D/Issue_21D_Interest_Rate_Population.csv,2269,2268,derived inventory,MPOLICY; MPLAN; CSO_EXPECTED_RATE; QUIKDVDP_MDEPINT,8 ISWL MPLAN codes,CSO 4.50% vs MDEPINT 4.00,(none),Per-policy ISWL fleet,derived,"Confirms 2,268 ISWL policies; interest authority is CSO 4.50% not rulebook MDEPINT."
