transaction_code,lifepro_definition,accounting_category,lifepro_manual_section,current_claim_family_assignment,current_phase4_family,current_phase10_routing,current_uat_treatment,likely_correct_qladmin_target_domain,claims_domain_eligible,rationale_from_documentation,recommended_governance_action,production_dbf_flag,rulebook_lineage,lifepro_manual_reference,qladmin_manual_reference
0411,Loan Principal,04xx Borrowed Money,LifePRO Accounting Transactions p.5 (04xx Borrowed Money),LOAN_PRINCIPAL_OFFSET,SURRENDER_CLAIM,Grouped into SURRENDER_CLAIM / DEATH_CLAIM chains when paired,SEMANTIC_GOVERNANCE_HOLD,QuikLoan.MLOANPRIN + Loan History,N,"LifePRO classifies 0411 under Borrowed Money, not death/surrender claims. QLAdmin Help p.827-828: policy loan principal belongs in QuikLoan.",SEMANTIC_GOVERNANCE_HOLD when chain lacks claim payout/benefit codes,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0412,Loan Interest Capitalized,04xx Borrowed Money,"LifePRO Accounting Transactions p.5, p.10 (Loan Interest Capitalized indicator 0412)",LOAN_INTEREST_OFFSET,SURRENDER_CLAIM,"QUIKCLMS CLAIMSTAT=99, MINTAMT populated",SEMANTIC_GOVERNANCE_HOLD,QuikLoan.MLOANACCR / MLOANBAL + Loan History,N,Authoritative LifePRO definition: capitalization is loan accounting. QLAdmin Anniversary Processing capitalizes loan interest to QuikLoan — not QUIKCLMS Death Claims.,SEMANTIC_GOVERNANCE_HOLD — exclude from UAT emit,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0413,Loan Payment,04xx Borrowed Money,LifePRO Accounting Transactions p.5,Not mapped in Phase 4 extract,N/A — not observed,N/A,NOT_IN_UAT,QuikLoan + Loan History (loan repayment),N,"Loan repayment is policy-loan maintenance, not a claim event.",NEVER route to QUIKCLMS,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0414,Non-collateralized Loan,04xx Borrowed Money,"LifePRO Accounting Transactions p.5, p.10",Not mapped,N/A,N/A,NOT_IN_UAT,QuikLoan.MLOANBAL,N,Non-collateralized loan taken — borrowed money domain.,NEVER route to QUIKCLMS,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0415,Non-collateralized Loan Interest,04xx Borrowed Money,"LifePRO Accounting Transactions p.5, p.10",Not mapped,N/A,N/A,NOT_IN_UAT,QuikLoan.MLOANACCR / MLOANINT,N,Loan interest accrual/capitalization on non-collateralized loans.,NEVER route to QUIKCLMS,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0416,Non-collateralized Payment,04xx Borrowed Money,LifePRO Accounting Transactions p.5,Not mapped,N/A,N/A,NOT_IN_UAT,QuikLoan + Loan History,N,Loan payment activity — not claim disbursement.,NEVER route to QUIKCLMS,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0417,Loan Write Off,04xx Borrowed Money,LifePRO Accounting Transactions p.5,Not mapped,N/A,N/A,NOT_IN_UAT,QuikLoan + accounting adjustment,N,"Loan write-off is borrowed-money accounting, not claim payout.",NEVER route to QUIKCLMS,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0451,Unearned Interest Income,04xx Borrowed Money (offset pair to 0412),"LifePRO Accounting Transactions p.5, p.10",Paired offset to LOAN_INTEREST_OFFSET,451<->412 capitalization offset,Misclassified as SURRENDER_CLAIM component,NOT_IN_UAT,QuikLoan / loan accounting (non-claim),N,"LifePRO defines 0451 as Unearned Interest Income under Borrowed Money — internal accounting offset, not claim interest (MINTAMT).",SEMANTIC_GOVERNANCE_HOLD with 0412 chains,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0530,Death Benefit,05xx Policy Owner Benefits,"LifePRO Accounting Transactions p.5-6, p.10",DEATH_BENEFIT,DEATH_CLAIM,QUIKCLMS death claim header,UAT_EMITTED,QUIKCLMS (Death Claims),Y,Core death benefit establishment — QLAdmin QuikClms Death Claims domain.,EMIT to QUIKCLMS when part of validated death claim chain,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
0560,Total Cash (full surrender),05xx Policy Owner Benefits,LifePRO Accounting Transactions p.6,TOTAL_CASH,SURRENDER_CLAIM,QUIKCLMS surrender,NOT_IN_UAT,QUIKCLMS CLAIMSTAT=99,Y,Authoritative surrender payout semantics per LifePRO and QLAdmin.,EMIT — required evidence for true surrender claims,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,docs/claims_conversion_reference/LifePRO Accounting Transaction Information (4).pdf,docs/claims_conversion_reference/QLAdmin_Help.pdf
