asset_type,asset_name,role_in_pipeline,downstream_consumer,preservation_requirement,notes
SOURCE,plan_analysis/quikplan_source.csv,PRIMARY_PRODUCT_SOURCE,Product Setup Runner,READ_ONLY — never mutate,133 LifePRO coverage rows; authoritative lineage input.
CROSSWALK,Policy Form Crosswalk 5.22.26.xlsx,CONFIGURATION_ENRICHMENT,Product Setup Runner (pre-rulebook overlay),Business authority for PLAN/FORM/DESCR/PLANNAME when joined on COVERAGE_ID,141 rows; join key = LifePRO Coverage_ID.
RULEBOOK,Sync_Rulebook_quikplan.csv,FIELD_MAPPING_AND_DEFAULTS,Product Setup Runner (core transform engine),"MUST NOT bypass — all mappings, defaults, Transformation_Note behavior preserved",79 rulebook lines including PCOMP lookup joins.
LOOKUP,plan_analysis/PCOMP.csv,MINUNIT/MAXUNIT_LOOKUP,Rulebook Lookup_Table=PCOMP Join_Key=COVERAGE_ID,Preserve TO_UNITS transformation note intent,Rulebook lines MIN_ISSUE_AMT1/MAX_ISSUE_AMT1 -> MINUNIT/MAXUNIT.
TRANSLATION,Master_Value_Translation.csv,VALUE_TRANSLATION,Shared with policy batch via trans_map,"Preserve prefix translations (PAR_, etc.) for quikplan fields",Loaded in app.py process_data; runner must load identically.
CROSSWALK_LEGACY,Master_Crosswalk.csv (plan rows),PLAN_CODE_MAP,"app.py line ~3669 cw_map.get(val,val) on PLAN field",Currently maps COVERAGE_ID -> QL Plan Code; transition to Policy Form Crosswalk,Approx 237 plan-like rows mixed with policy mappings — segregate in future phase.
OUTPUT,output/quikplan.csv,MASTER_PRODUCT_CONFIGURATION,"quikridr.MPLAN, quikactg.MPLAN, validation, future DBF",Schema order from app.py TABLE_SCHEMAS['quikplan']; PLAN primary key,133 rows; 132 unique PLAN.
OUTPUT,output/quikplan.dbf,QLADMIN_LOAD_TARGET,QLAdmin product setup load (future/isolated runner),Generate from final emitted CSV only (mirror Phase 21B claims pattern),No quikplan.dbf currently in repo; optional subprocess DBF stage.
VALIDATION,validation_config/key_definitions.json,PLAN_UNIQUENESS,Product governance diagnostics,Additive ERROR on duplicate PLAN — do not auto-remediate,quikplan key = PLAN field.
DOWNSTREAM,quikridr.csv MPLAN,POLICY_PHASE_PLAN_REFERENCE,Issued policy phases reference quikplan.PLAN catalog,"Diagnostic only in P1C — orphan MPLAN report, no blocking unless approved","11698 rows; 7 orphan MPLAN codes: 1L15GD, 1L16GD, 9DIS80, 9DIS90, DISCHO20 B, L16POLFEE, L17 BASE"
DOWNSTREAM,Sync_Rulebook_quikactg.csv,ACCOUNTING_PLAN_REFERENCE,PACTG.PLAN_CODE -> MPLAN via Master_Crosswalk,Policy batch unchanged; depends on stable quikplan catalog,quikactg not regenerated when product setup isolated from batch.
ENGINE,app.py TABLE_SCHEMAS['quikplan'],OUTPUT_SCHEMA,CSV column order and DBF layout source of truth,Extract as shared constant — do not duplicate field list,79 fields defined at app.py ~line 162.
ENGINE,app.py process_data rulebook loop,TRANSFORMATION_ENGINE,Currently inline ~lines 3453-3705,Extract to shared module; subprocess + app.py call same function,"Includes ROUTE_PAY_*, age zfill, PAR exception, cw_map on PLAN."
